oid,start,end,type,price,polygon
623d9d080cf28aa4972bc1067d12bfc2,10:00:00,12:00:00,car,200,"132.47426,34.401244,132.47632,34.400182,132.475033,34.399474,132.47426,34.401244"
b182eb59f03d4a834b054a63cb24a03d,10:00:00,12:00:00,car,200,"132.477436,34.392604,132.478638,34.3914,132.476578,34.390621,132.474861,34.391471,132.477436,34.392604"
